SampleID,SampleType,SampleSource,Host_SampleName,CollectionDate,Latitude,Longitude,,Elevation,DNAExtractionProtocol,ExtractorName,SampleDescription,Project_Name,Set_ID,FireTreatment,BurnYear,Year_,Month_,Day_,ObjectID_1,InOrOut,Lat,Lon,BurnDate,ELEVATION_AVG,SLOPE_AVG,SLOPE_MAX,ASPECT_DOM,CANOPY_2001,POP_DEN_2000,POP_2000,SOIL_DOM,GEOLOGY_DOM,PRECIP_1,PRECIP_2,PRECIP_3,PRECIP_4,PRECIP_5,PRECIP_6,PRECIP_7,PRECIP_8,PRECIP_9,PRECIP_10,PRECIP_11,PRECIP_12,TMEAN_1,TMEAN_2,TMEAN_3,TMEAN_4,TMEAN_5,TMEAN_6,TMEAN_7,TMEAN_8,TMEAN_9,TMEAN_10,TMEAN_11,TMEAN_12,TMIN_1,TMIN_2,TMIN_3,TMIN_4,TMIN_5,TMIN_6,TMIN_7,TMIN_8,TMIN_9,TMIN_10,TMIN_11,TMIN_12,TMAX_1,TMAX_2,TMAX_3,TMAX_4,TMAX_5,TMAX_6,TMAX_7,TMAX_8,TMAX_9,TMAX_10,TMAX_11,TMAX_12,ANNUAL_MEAN_TEMP,ANNUAL_PRECIP,ISOTHERMALITY,MAX_TEMP_WARMEST_MONTH,MEAN_DIURNAL_RANGE,MEAN_TEMP_COLDEST_QUARTER,MEAN_TEMP_DRIEST_QUARTER,MEAN_TEMP_WARMEST_QUARTER,MEAN_TEMP_WETTEST_QUARTER,MIN_TEMP_COLDEST_MONTH,PRECIP_COLDEST_QUARTER,PRECIP_DRIEST_MONTH,PRECIP_DRIEST_QUARTER,PRECIP_SEASONALITY,PRECIP_WARMEST_QUARTER,PRECIP_WETTEST_MONTH,PRECIP_WETTEST_QUARTER,TEMP_ANNUAL_RANGE,TEMP_SEASONALITY,Soil_Description,to_keep,ID,LibID,Title,Filename,Filename2,
FS-31N,Environmental,Soil,Burn_2007,2018-11-03,39.94178,-111.78222,39.94178 N 111.78222 W,1700,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_31N,Forest_Fire_Recovery,Set_2,Burn,2007,2007,6,17,254,in,39.941676,-111.781982,2007-06-17,172144,15.3618421555,24.4690551758,4,32.03,0,0,674693,-109,42,42,52,46,42,26,25,31,35,43,45,45,-4.2,-1.5,2.4,6.9,11.8,17.1,21.4,20.3,15.2,9.1,2.3,-3.3,-10.2,-7.7,-4.2,-0.5,3.6,8,12.2,11.2,6.2,0.9,-4.1,-9,1.9,4.8,9,14.2,20,26.2,30.7,29.5,24.2,17.3,8.8,2.5,-4.2,474,37,-1.5,152,2.4,6.9,11.8,17.1,21.4,129,25,82,20,82,52,140,20.3,15.2,Yeates Hollow-St marys-Moweba-Hoskin-Holmes (s7833),yes,254_in,FS-31N-ITS1,Fungal ITS1 of Soil: FS-31N,FS-31N_R1_001.fastq.gz,FS-31N_R2_001.fastq.gz,
FS-31E,Environmental,Soil,Burn_2007,2018-11-03,39.94178,-111.78222,39.94178 N 111.78222 W,1700,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_31E,Forest_Fire_Recovery,Set_2,Burn,2007,2007,6,17,254,in,39.941676,-111.781982,2007-06-17,172144,15.3618421555,24.4690551758,4,32.03,0,0,674693,-109,42,42,52,46,42,26,25,31,35,43,45,45,-4.2,-1.5,2.4,6.9,11.8,17.1,21.4,20.3,15.2,9.1,2.3,-3.3,-10.2,-7.7,-4.2,-0.5,3.6,8,12.2,11.2,6.2,0.9,-4.1,-9,1.9,4.8,9,14.2,20,26.2,30.7,29.5,24.2,17.3,8.8,2.5,-4.2,474,37,-1.5,152,2.4,6.9,11.8,17.1,21.4,129,25,82,20,82,52,140,20.3,15.2,Yeates Hollow-St marys-Moweba-Hoskin-Holmes (s7833),yes,254_in,FS-31E-ITS1,Fungal ITS1 of Soil: FS-31E,FS-31E_R1_001.fastq.gz,FS-31E_R2_001.fastq.gz,
FS-41W,Environmental,Soil,Burn_2007,2018-09-08,40.01663,-111.49936,40.01663 N 111.49936 W,1501,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_41W,Forest_Fire_Recovery,Set_3,Burn,2007,2007,6,24,239,in,40.016673,-111.499308,2007-06-24,152625,1.4168143272,4.6051645279,2,3.06,0,0,674407,43,48,47,53,47,42,26,22,28,36,46,50,52,-4.1,-1.2,3.4,8,13,17.7,21.9,20.8,15.9,9.8,2.7,-3.1,-10.1,-7.7,-3.5,0.2,4.4,8.3,12.3,11.3,6.5,1.2,-3.9,-8.8,1.9,5.3,10.4,15.8,21.6,27.2,31.6,30.3,25.3,18.4,9.4,2.6,-4.1,504,37,-1.2,158,3.4,8,13,17.7,21.9,150,23,77,25,77,54,153,20.8,15.9,Roundy-Fitzgerald-Daybell (s7884),yes,239_in,FS-41W-ITS1,Fungal ITS1 of Soil: FS-41W,FS-41W_R1_001.fastq.gz,FS-41W_R2_001.fastq.gz,
FS-41E,Environmental,Soil,Burn_2007,2018-09-08,40.01663,-111.49936,40.01663 N 111.49936 W,1501,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_41E,Forest_Fire_Recovery,Set_3,Burn,2007,2007,6,24,239,in,40.016673,-111.499308,2007-06-24,152625,1.4168143272,4.6051645279,2,3.06,0,0,674407,43,48,47,53,47,42,26,22,28,36,46,50,52,-4.1,-1.2,3.4,8,13,17.7,21.9,20.8,15.9,9.8,2.7,-3.1,-10.1,-7.7,-3.5,0.2,4.4,8.3,12.3,11.3,6.5,1.2,-3.9,-8.8,1.9,5.3,10.4,15.8,21.6,27.2,31.6,30.3,25.3,18.4,9.4,2.6,-4.1,504,37,-1.2,158,3.4,8,13,17.7,21.9,150,23,77,25,77,54,153,20.8,15.9,Roundy-Fitzgerald-Daybell (s7884),yes,239_in,FS-41E-ITS1,Fungal ITS1 of Soil: FS-41E,FS-41E_R1_001.fastq.gz,FS-41E_R2_001.fastq.gz,
FS-41N,Environmental,Soil,Burn_2007,2018-09-08,40.01663,-111.49936,40.01663 N 111.49936 W,1501,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_41N,Forest_Fire_Recovery,Set_3,Burn,2007,2007,6,24,239,in,40.016673,-111.499308,2007-06-24,152625,1.4168143272,4.6051645279,2,3.06,0,0,674407,43,48,47,53,47,42,26,22,28,36,46,50,52,-4.1,-1.2,3.4,8,13,17.7,21.9,20.8,15.9,9.8,2.7,-3.1,-10.1,-7.7,-3.5,0.2,4.4,8.3,12.3,11.3,6.5,1.2,-3.9,-8.8,1.9,5.3,10.4,15.8,21.6,27.2,31.6,30.3,25.3,18.4,9.4,2.6,-4.1,504,37,-1.2,158,3.4,8,13,17.7,21.9,150,23,77,25,77,54,153,20.8,15.9,Roundy-Fitzgerald-Daybell (s7884),yes,239_in,FS-41N-ITS1,Fungal ITS1 of Soil: FS-41N,FS-41N_R1_001.fastq.gz,FS-41N_R2_001.fastq.gz,
FS-42N,Environmental,Soil,NonBurn_2007,2018-06-10,40.018588,-111.498315,40.018588 N 111.498315 W,1520,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_42N,Forest_Fire_Recovery,Set_3,NonBurn,2007,2008,8,15,46,out,40.018622,-111.720207,2008-08-15,152806,17.8299846649,26.7734909058,1,20.32,6,2,674680,43,42,42,51,48,43,25,23,29,34,44,46,44,-3.5,-0.5,3.5,8,13.2,18.3,22.8,21.4,16.3,10,3.1,-2.5,-9.2,-6.7,-3.1,0.6,5,9.3,13.6,12.4,7.3,1.8,-3.3,-7.9,2.3,5.6,10.3,15.5,21.4,27.4,32,30.6,25.3,18.2,9.5,3,-3.5,458,36,-0.5,150,3.5,8,13.2,18.3,22.8,123,22,75,22,75,50,139,21.4,16.3,Yeates Hollow-Lucky Star-Hoskin-Horrocks-Gappmayer-Cloud Rim-Bradshaw-Ant Flat (s7886),yes,46_out,FS-42N-ITS1,Fungal ITS1 of Soil: FS-42N,FS-42N_R1_001.fastq.gz,FS-42N_R2_001.fastq.gz,
FS-42W,Environmental,Soil,NonBurn_2007,2018-06-10,40.01859,-111.49832,40.01859 N 111.49832 W,1520,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_42W,Forest_Fire_Recovery,Set_3,NonBurn,2007,2008,8,15,46,out,40.018622,-111.720207,2008-08-15,152806,17.8299846649,26.7734909058,1,20.32,6,2,674680,43,42,42,51,48,43,25,23,29,34,44,46,44,-3.5,-0.5,3.5,8,13.2,18.3,22.8,21.4,16.3,10,3.1,-2.5,-9.2,-6.7,-3.1,0.6,5,9.3,13.6,12.4,7.3,1.8,-3.3,-7.9,2.3,5.6,10.3,15.5,21.4,27.4,32,30.6,25.3,18.2,9.5,3,-3.5,458,36,-0.5,150,3.5,8,13.2,18.3,22.8,123,22,75,22,75,50,139,21.4,16.3,Yeates Hollow-Lucky Star-Hoskin-Horrocks-Gappmayer-Cloud Rim-Bradshaw-Ant Flat (s7886),yes,46_out,FS-42W-ITS1,Fungal ITS1 of Soil: FS-42W,FS-42W_R1_001.fastq.gz,FS-42W_R2_001.fastq.gz,
FS-42E,Environmental,Soil,NonBurn_2007,2018-06-10,40.01859,-111.49832,40.01859 N 111.49832 W,1520,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_42E,Forest_Fire_Recovery,Set_3,NonBurn,2007,2008,8,15,46,out,40.018622,-111.720207,2008-08-15,152806,17.8299846649,26.7734909058,1,20.32,6,2,674680,43,42,42,51,48,43,25,23,29,34,44,46,44,-3.5,-0.5,3.5,8,13.2,18.3,22.8,21.4,16.3,10,3.1,-2.5,-9.2,-6.7,-3.1,0.6,5,9.3,13.6,12.4,7.3,1.8,-3.3,-7.9,2.3,5.6,10.3,15.5,21.4,27.4,32,30.6,25.3,18.2,9.5,3,-3.5,458,36,-0.5,150,3.5,8,13.2,18.3,22.8,123,22,75,22,75,50,139,21.4,16.3,Yeates Hollow-Lucky Star-Hoskin-Horrocks-Gappmayer-Cloud Rim-Bradshaw-Ant Flat (s7886),yes,46_out,FS-42E-ITS1,Fungal ITS1 of Soil: FS-42E,FS-42E_R1_001.fastq.gz,FS-42E_R2_001.fastq.gz,
FS-53N,Environmental,Soil,NonBurn_2012,2018-09-08,40.11798,-111.33787,40.11798 N 111.33787 W,1812,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_53N,Forest_Fire_Recovery,Set_4,NonBurn,2012,2012,8,19,679,out,40.117966,-111.335199,2012-08-19,187648,22.0796718597,31.9264888763,1,45.15,0,0,674411,7,51,49,47,40,39,27,27,32,38,44,48,51,-6.2,-3.7,0.9,5.6,10.5,15.2,19.3,18.2,13.5,7.8,0.7,-5.1,-12.9,-10.7,-6.2,-2,1.9,5.8,9.6,8.6,4,-0.9,-6.1,-11.4,0.6,3.4,8,13.3,19.1,24.7,29,27.9,23,16.5,7.6,1.3,-6.2,493,38,-3.7,162,0.9,5.6,10.5,15.2,19.3,151,27,86,20,86,51,151,18.2,13.5,Steed-Redola-Provo-Pleasant View-Pleasant Vale-Keigley (s7862),yes,679_out,FS-53N-ITS1,Fungal ITS1 of Soil: FS-53N,FS-53N_R1_001.fastq.gz,FS-53N_R2_001.fastq.gz,
FS-53W,Environmental,Soil,NonBurn_2012,2018-09-08,40.11798,-111.33787,40.11798 N 111.33787 W,1812,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_53W,Forest_Fire_Recovery,Set_4,NonBurn,2012,2012,8,19,679,out,40.117966,-111.335199,2012-08-19,187648,22.0796718597,31.9264888763,1,45.15,0,0,674411,7,51,49,47,40,39,27,27,32,38,44,48,51,-6.2,-3.7,0.9,5.6,10.5,15.2,19.3,18.2,13.5,7.8,0.7,-5.1,-12.9,-10.7,-6.2,-2,1.9,5.8,9.6,8.6,4,-0.9,-6.1,-11.4,0.6,3.4,8,13.3,19.1,24.7,29,27.9,23,16.5,7.6,1.3,-6.2,493,38,-3.7,162,0.9,5.6,10.5,15.2,19.3,151,27,86,20,86,51,151,18.2,13.5,Steed-Redola-Provo-Pleasant View-Pleasant Vale-Keigley (s7862),yes,679_out,FS-53W-ITS1,Fungal ITS1 of Soil: FS-53W,FS-53W_R1_001.fastq.gz,FS-53W_R2_001.fastq.gz,
FS-53E,Environmental,Soil,NonBurn_2012,2018-09-08,40.11798,-111.33787,40.11798 N 111.33787 W,1812,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_53E,Forest_Fire_Recovery,Set_4,NonBurn,2012,2012,8,19,679,out,40.117966,-111.335199,2012-08-19,187648,22.0796718597,31.9264888763,1,45.15,0,0,674411,7,51,49,47,40,39,27,27,32,38,44,48,51,-6.2,-3.7,0.9,5.6,10.5,15.2,19.3,18.2,13.5,7.8,0.7,-5.1,-12.9,-10.7,-6.2,-2,1.9,5.8,9.6,8.6,4,-0.9,-6.1,-11.4,0.6,3.4,8,13.3,19.1,24.7,29,27.9,23,16.5,7.6,1.3,-6.2,493,38,-3.7,162,0.9,5.6,10.5,15.2,19.3,151,27,86,20,86,51,151,18.2,13.5,Steed-Redola-Provo-Pleasant View-Pleasant Vale-Keigley (s7862),yes,679_out,FS-53E-ITS1,Fungal ITS1 of Soil: FS-53E,FS-53E_R1_001.fastq.gz,FS-53E_R2_001.fastq.gz,
FS-54N,Environmental,Soil,Burn_2012,2018-09-08,40.1191,-111.33832,40.1191 N 111.33832 W,1819,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_54N,Forest_Fire_Recovery,Set_4,Burn,2012,2012,8,19,679,in,40.11885,-111.337902,2012-08-19,182995,16.4556751251,33.6572418213,2,17.21,0,0,674411,7,51,49,47,40,39,27,27,32,38,44,48,51,-6.2,-3.7,0.8,5.5,10.4,15.1,19.3,18.2,13.5,7.8,0.7,-5.1,-12.9,-10.7,-6.2,-2.1,1.9,5.7,9.6,8.6,4,-0.9,-6.1,-11.4,0.6,3.4,7.9,13.2,19,24.6,29,27.8,23,16.5,7.6,1.3,-6.2,493,38,-3.7,162,0.8,5.5,10.4,15.1,19.3,151,27,86,20,86,51,151,18.2,13.5,Steed-Redola-Provo-Pleasant View-Pleasant Vale-Keigley (s7862),yes,679_in,FS-54N-ITS1,Fungal ITS1 of Soil: FS-54N,FS-54N_R1_001.fastq.gz,FS-54N_R2_001.fastq.gz,
FS-54W,Environmental,Soil,Burn_2012,2018-09-08,40.1191,-111.33832,40.1191 N 111.33832 W,1819,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_54W,Forest_Fire_Recovery,Set_4,Burn,2012,2012,8,19,679,in,40.11885,-111.337902,2012-08-19,182995,16.4556751251,33.6572418213,2,17.21,0,0,674411,7,51,49,47,40,39,27,27,32,38,44,48,51,-6.2,-3.7,0.8,5.5,10.4,15.1,19.3,18.2,13.5,7.8,0.7,-5.1,-12.9,-10.7,-6.2,-2.1,1.9,5.7,9.6,8.6,4,-0.9,-6.1,-11.4,0.6,3.4,7.9,13.2,19,24.6,29,27.8,23,16.5,7.6,1.3,-6.2,493,38,-3.7,162,0.8,5.5,10.4,15.1,19.3,151,27,86,20,86,51,151,18.2,13.5,Steed-Redola-Provo-Pleasant View-Pleasant Vale-Keigley (s7862),yes,679_in,FS-54W-ITS1,Fungal ITS1 of Soil: FS-54W,FS-54W_R1_001.fastq.gz,FS-54W_R2_001.fastq.gz,
